Phone timestamp,X [mg],Y [mg],Z [mg],Type,Amount
2021-12-07 21:17:41.038,674,1155,-1703,,
2021-12-07 21:17:41.057,-396,1308,-1419,,
2021-12-07 21:17:41.077,213,1333,-1348,,
2021-12-07 21:17:41.096,-2271,337,-2500,,
2021-12-07 21:17:41.116,-129,1530,-1882,,
2021-12-07 21:17:41.135,519,1228,-1281,,
2021-12-07 21:17:41.155,-129,1072,-925,,
2021-12-07 21:17:41.174,-370,736,-851,,
2021-12-07 21:17:41.194,-705,819,-847,,
2021-12-07 21:17:41.213,-571,893,-673,,
2021-12-07 21:17:41.233,-592,847,-147,,
2021-12-07 21:17:41.252,-390,930,202,,
2021-12-07 21:17:41.272,-309,1260,477,,
2021-12-07 21:17:41.291,-191,1468,790,,
2021-12-07 21:17:41.311,19,1312,326,,
2021-12-07 21:17:41.330,-1087,1423,-281,,
2021-12-07 21:17:41.350,-105,1344,-782,,
2021-12-07 21:17:41.369,6,1324,-379,,
2021-12-07 21:17:41.389,-511,996,-260,,
2021-12-07 21:17:41.408,-896,769,105,,
2021-12-07 21:17:41.428,-650,645,145,,
2021-12-07 21:17:41.447,-546,389,238,,
2021-12-07 21:17:41.467,-656,337,506,,
2021-12-07 21:17:41.486,-630,369,1078,,
2021-12-07 21:17:41.506,-137,423,1622,,
2021-12-07 21:17:41.525,-958,604,1824,,
2021-12-07 21:17:41.545,-1439,225,-102,,
2021-12-07 21:17:41.564,92,505,-5788,,
2021-12-07 21:17:41.584,1218,3900,-7808,,
2021-12-07 21:17:41.603,7327,6660,-7689,,
2021-12-07 21:17:41.623,2251,4329,-6619,,
2021-12-07 21:17:41.643,5019,6017,-5893,,
2021-12-07 21:17:41.662,3962,7988,-2591,,
2021-12-07 21:17:41.682,5866,7988,-4418,,
2021-12-07 21:17:41.701,7978,7988,-3216,,
2021-12-07 21:17:41.721,7978,7988,-2150,,
2021-12-07 21:17:41.740,7977,7081,-2824,,
2021-12-07 21:17:41.760,7976,4659,-3707,,
2021-12-07 21:17:41.779,6685,4006,-4488,,
2021-12-07 21:17:41.799,6228,2730,-4301,,
2021-12-07 21:17:41.818,5950,1916,-4898,,
2021-12-07 21:17:41.838,4145,1762,-4303,,
2021-12-07 21:17:41.857,1834,1383,-3740,,
2021-12-07 21:17:41.877,509,1875,-3115,,
2021-12-07 21:17:41.896,247,2231,-2073,,
2021-12-07 21:17:41.916,118,2236,-1498,,
2021-12-07 21:17:41.935,-138,2416,-983,,
2021-12-07 21:17:41.955,-309,2582,-119,,
2021-12-07 21:17:41.974,-254,2479,295,,
2021-12-07 21:17:41.994,-481,2301,740,,
2021-12-07 21:17:42.013,-1087,2023,409,,
2021-12-07 21:17:42.033,-1514,1779,467,,
2021-12-07 21:17:42.052,-1412,1426,1201,,
2021-12-07 21:17:42.072,-1210,1494,1910,,
2021-12-07 21:17:42.091,-1485,1593,2099,,
2021-12-07 21:17:42.111,-1455,1685,1769,,
2021-12-07 21:17:42.130,-1133,1647,1091,,
2021-12-07 21:17:42.150,-1080,1470,1228,,
2021-12-07 21:17:42.169,-1448,1343,1851,,
2021-12-07 21:17:42.189,-1624,1344,1788,,
2021-12-07 21:17:42.208,-1538,1251,1546,,
2021-12-07 21:17:42.228,-1533,1197,904,,
2021-12-07 21:17:42.247,-1704,1039,127,,
2021-12-07 21:17:42.267,-1843,922,-509,,
2021-12-07 21:17:42.286,-1879,750,-544,,
2021-12-07 21:17:42.306,-1302,527,-511,,
2021-12-07 21:17:42.325,-1087,540,-757,,
2021-12-07 21:17:42.345,-1383,599,-810,,
2021-12-07 21:17:42.365,-1679,695,-690,,
2021-12-07 21:17:42.384,-1726,665,-933,,
